Note,Name
127,
126,
125,
124,
123,
122,
121,
120,
119,
118,
117,
116,
115,
114,
113,
112,
111,
110,
109,
108,
107,
106,
105,
104,
103,
102,
101,
100,
99,
98,
97,
96,
95,
94,
93,
92,
91,
90,
89,
88,
87,
86,
85,
84,
83,
82,
81,
80,
79,Stick Click
78,
77,Stack Crash
76,
75,
74,Splash Choke
73,Splash
72,
71,
70,
69,
68,
67,
66,China Choke
65,China Crash
64,
63,
62,Ride Bow
61,Ride Bell
60,
59,Crash R Bow
58,Crash R Bell
57,Crash Far L Choke
56,Crash Far L
55,Crash R Choke
54,Crash R
53,Crash L Choke
52,Crash L
51,
50,
49,
48,Hat Pedal
47,Hat Open 3
46,Hat Open 2
45,Hat Open 1
44,Hat Edge Closed
43,Hat Closed
42,Hat Edge Tight
41,Hat Tight
40,
39,
38,
37,
36,
35,Floor Tom 2
34,Floor Tom 1
33,Rack Tom
32,
31,
30,Snare Cross Stick
29,Snare Wires Off
28,
27,
26,Snare Hit
25,
24,Kick
23,
22,
21,
20,
19,
18,
17,
16,
15,
14,
13,
12,
11,
10,
9,
8,
7,
6,
5,
4,
3,
2,
1,
0,